registryid,siting_metric
['C2914'],0.034586587238420716
['C2712'],0.02763844931419827
['C2367'],0.024296946707819116
['C8042'],0.023001194131191536
['110038759572'],0.021335572057833152
['110015334440'],0.020813208972537717
['C6249'],0.020770982644403076
['110038751534'],0.020657940108733584
['110043241417'],0.02050098551357747
['C136'],0.02029641410147961
['C50611'],0.020080043261684163
['C56068'],0.01980664115747628
['C50951'],0.019638306498192648
['C2936'],0.019622422726832064
['110038712453'],0.01941118770626934
['110015334333'],0.018554467058662795
['C6073'],0.018549406781994928
['C7030'],0.018514160907341665
['C6705'],0.018483457068987793
['C6761'],0.01827977350696809
['110039538738'],0.017996459620190402
['110038742689'],0.017840252121093157
['110070523691'],0.017542848439844088
['C10684'],0.017525808268360466
['C6138'],0.01727781240138858
['C1250'],0.017176995674790165
['110038748497'],0.017023017661082232
['110038724529'],0.01695163781440676
['110015334538'],0.016877268857615108
['110015335608'],0.016794083808421834
['110040720592'],0.016756569175022978
['C7213'],0.016631479850435383
['110070149031'],0.01651217794996534
['110054626801'],0.01642118699727097
['C6250'],0.016201912577484802
['110038691939'],0.01618745000704231
['110070225902'],0.01616832674790775
['110070525605'],0.016122374998387756
['C6085'],0.016054501759063495
['C6096'],0.01594260459604576
['110039531101'],0.015739390565073657
['110038718929'],0.01555194299601968
['C6090'],0.015313678581206412
['C2727'],0.015276685688995068
['110038746872'],0.015198738952717441
['C54276'],0.015169439687763213
['110038756833'],0.01499219079234232
['110070258628'],0.01495529952947325
['110070068960'],0.014911278733695556
['110038751516'],0.014882622257609902
['110070068929'],0.014882622257609902
['C10343'],0.014777693392881933
['C6469'],0.014686195962784284
['110071162597'],0.014683426692578938
['C1167'],0.014655702894480665
['C3396'],0.014561856491712311
['110013802233'],0.01445801074433164
['C50776'],0.014397612582778139
['C6257'],0.014391609484648273
['110070081550'],0.014291004576760065
['C6194'],0.014263234162386769
['110038716173'],0.014239982193037133
['C2790'],0.014220098274819962
['C6009'],0.01419891043073592
['110004117660'],0.014157617778809587
['C628'],0.014148121664665184
['110070384856'],0.014145413603853931
['110015329884'],0.014108387774090157
['C2721'],0.01406257269676926
['C56564'],0.013957214888548926
['110038702963'],0.013896240243051198
['C298'],0.013802855023203118
['110020032034'],0.013781184988973029
['C57046'],0.013780835576361516
['110038718956'],0.013691936158265566
['110046426701'],0.013573917967448989
['C2935'],0.013518464406480751
['110003429200'],0.013339766883128455
['C1573'],0.01328625869776531
['110038746863'],0.013281579148956717
['C564'],0.013242590381191901
['110059657438'],0.01316402146603726
['C56456'],0.013159863715355952
['C50900'],0.013103551697589949
['C8224'],0.013002054420514216
['110055129793'],0.012977274766071677
['110039536133'],0.012944950134047048
['110070605049'],0.012843077479548194
['110040821974'],0.012751807025268482
['110038726670'],0.012728949359270264
['110040477971'],0.01271478103931601
['110018962167'],0.012618203778165546
['110061014664'],0.012537326248890545
['C2364'],0.012513935992657557
['110070068532'],0.012507238262444991
['110070209700'],0.012496633216649662
['110063009505'],0.012486361204144416
['110015335234'],0.01248018774025427
['110038724066'],0.01247619129662853
['110043425576'],0.01238939174294929
['110071089106'],0.012387194379050408
['110043316621'],0.012382239683211959
['110040402720'],0.012378260296457552
['110030986869'],0.01237623733503897
['110071090466'],0.012323328390003168
['110070068734'],0.012208974542084118
['110071162634'],0.012197874094961
['C1893'],0.012177429494769862
['C1047'],0.012173773419393668
['110069992237'],0.012129029874176092
['C667'],0.012112608717436461
['C130'],0.012103890417819204
['110070069047'],0.012100536625428778
['110070149085'],0.012049108739022131
['110015330774'],0.012001575791854149
['110040477793'],0.011987710921324475
['110015331773'],0.011986005245647602
['110046426140'],0.011911162842715227
['110060394728'],0.011890112044185748
['110038706175'],0.01188409954464933
['110069543417'],0.011869351306525116
['110070556256'],0.011778951386420764
['C6095'],0.011759749715799232
['C6193'],0.011729164470435424
['110071194736'],0.011672977441100935
['110038692037'],0.011670357640857859
['110070149057'],0.011649048140664356
['110071162822'],0.01157247942982569
['110015337045'],0.011524726095913812
['110038759215'],0.011511738140452116
['C2718'],0.011506148776821573
['110070556229'],0.011312062225671122
['110004015217'],0.011257303030799751
['110038730816'],0.011257265240300218
['C2866'],0.01124579294678357
['110070149205'],0.011177977131095229
['110003419952'],0.011168534886845724
['110064692293'],0.011162613638266384
['110070068991'],0.01115878522226381
['110070507916'],0.011080555461811383
['110060856015'],0.011019257377974559
['110043242354'],0.011018591655808567
['110067659796'],0.011016235761882117
['C50397'],0.010988051778717785
['110071090468'],0.01097448548250772
['C525'],0.010902444279985825
['110070149221'],0.010901874942145949
['110038698488'],0.010842384382144018
['110019043550'],0.010757247835782968
['110070068992'],0.010713957061754518
['110045009502'],0.01070771256397206
['110070671529'],0.010624269792464563
['110064565064'],0.010611722446805005
['110071090567'],0.01059980092209156
['110070149222'],0.010588459646378454
['110020377055'],0.010587821442173878
['C10075'],0.010555843569477714
['110070057751'],0.010516338871231061
['110039062331'],0.010496539475948165
['C2277'],0.01047150105580446
['110069992189'],0.01046748310843184
['110042112237'],0.010466832097135212
['110069992183'],0.010445851675019142
['110044759721'],0.010430598902348476
['110070034284'],0.010387031192926409
['110036264011'],0.010385968365688841
['110041720288'],0.010376911351486079
['110069349324'],0.010375357402816822
['110038762871'],0.010355488168948053
['110038697425'],0.010350831506277794
['110067449210'],0.010349090817372411
['110043243059'],0.01032099061450381
