Average R2 Score,Layer1 Neurons,Learning Rate
0.838584322821882,"[200, 200]",0.001
0.8345304339567083,"[200, 200]",0.0005
0.8450579683199275,"[300, 300]",0.001
0.8461059594932058,"[300, 300]",0.0005
0.8495716537974008,"[400, 400]",0.001
0.8460445794250704,"[400, 400]",0.0005
0.8535577585134437,"[500, 500]",0.001
0.8509877668874036,"[500, 500]",0.0005
0.8559558237847044,"[200, 200, 200]",0.001
0.8472854508282252,"[200, 200, 200]",0.0005
0.8598510728014,"[300, 300, 300]",0.001
0.850665226071613,"[300, 300, 300]",0.0005
0.8640957099475159,"[400, 400, 400]",0.001
0.8611390058192473,"[400, 400, 400]",0.0005
0.8669669365329199,"[500, 500, 500]",0.001
0.860158802069773,"[500, 500, 500]",0.0005
0.860854638425329,"[200, 200, 200, 200]",0.001
0.8552432758112904,"[200, 200, 200, 200]",0.0005
0.8724196547093365,"[300, 300, 300, 300]",0.001
0.861546862446873,"[300, 300, 300, 300]",0.0005
0.8741352400603758,"[400, 400, 400, 400]",0.001
0.8655169638340666,"[400, 400, 400, 400]",0.0005
0.866421602317121,"[500, 500, 500, 500]",0.001
0.871189400128123,"[500, 500, 500, 500]",0.0005
0.863787544635549,"[200, 200, 200, 200, 200]",0.001
0.8530217210220379,"[200, 200, 200, 200, 200]",0.0005
0.8679460591184237,"[300, 300, 300, 300, 300]",0.001
0.8651109336627871,"[300, 300, 300, 300, 300]",0.0005
0.8688727381116206,"[400, 400, 400, 400, 400]",0.001
0.8710017236621489,"[400, 400, 400, 400, 400]",0.0005
0.8737311422096391,"[500, 500, 500, 500, 500]",0.001
0.876447833527422,"[500, 500, 500, 500, 500]",0.0005
