Average R2 Score,Layer1 Neurons,Learning Rate
0.8689837154368515,"[500, 500, 500, 500, 500]",0.0004
0.8657846036532029,"[500, 500, 500, 500, 500]",0.0002
0.8557647477460207,"[500, 500, 500, 500, 500]",0.0001
0.8686504950093505,"[500, 500, 500, 500, 500]",0.0004
0.869937491476148,"[500, 500, 500, 500, 500]",0.0002
0.8594220410422642,"[500, 500, 500, 500, 500]",0.0001
0.8665061327437932,"[500, 500, 500, 500, 500]",0.0004
0.8666929003138905,"[500, 500, 500, 500, 500]",0.0002
0.85980591030414,"[500, 500, 500, 500, 500]",0.0001
0.8745175246963599,"[600, 600, 600, 600, 600, 600]",0.0004
0.8725190029639774,"[600, 600, 600, 600, 600, 600]",0.0002
0.8624649980688226,"[600, 600, 600, 600, 600, 600]",0.0001
0.875213458267013,"[600, 600, 600, 600, 600, 600]",0.0004
0.8710838605087945,"[600, 600, 600, 600, 600, 600]",0.0002
0.8580319744716962,"[600, 600, 600, 600, 600, 600]",0.0001
0.8740240320664374,"[600, 600, 600, 600, 600, 600]",0.0004
0.8764161852512763,"[600, 600, 600, 600, 600, 600]",0.0002
0.8613503950642323,"[600, 600, 600, 600, 600, 600]",0.0001
0.8730570884716005,"[700, 700, 700, 700, 700, 700, 700]",0.0004
0.8777068454150896,"[700, 700, 700, 700, 700, 700, 700]",0.0002
0.8656696324579013,"[700, 700, 700, 700, 700, 700, 700]",0.0001
0.8716838520398041,"[700, 700, 700, 700, 700, 700, 700]",0.0004
0.8752857838322635,"[700, 700, 700, 700, 700, 700, 700]",0.0002
0.8597654733724014,"[700, 700, 700, 700, 700, 700, 700]",0.0001
0.8719799258845408,"[700, 700, 700, 700, 700, 700, 700]",0.0004
0.8709901330057145,"[700, 700, 700, 700, 700, 700, 700]",0.0002
0.8666622489164929,"[700, 700, 700, 700, 700, 700, 700]",0.0001
